"username","tweet_content","tweet__id","user_id"
SchmidhuberAI,"Belated thanks to @OriolVinyalsML for mentioning the 1991 paper [1] on distilling the knowledge in a neural network (to do deep learning for long text before the LSTM). See [8] as well. I called it ""collapsing,"" back then, not “distilling."" Also, I wasn't reviewer#2 of [2].
         
REFERENCES

[1] J. Schmidhuber (1991). Learning complex, extended sequences using the principle of history compression. Neural Computation, 4(2):234-242, 1992. Based on TR FKI-148-91, TUM, 1991. Sec. 3.2.2. and Sec. 4 are about ""collapsing"" [1] or ""distilling"" [2] the knowledge of a teacher net (the chunker) into a student net (the automatizer). Afterwards, the automatizer can do what the chunker could do. Such approaches are now widely used. See also [3][4][6][7][8].

[2] G. Hinton, O. Vinyals, J. Dean (2015). Distilling the Knowledge in a Neural Network. arXiv:1503.02531. See the 1991 paper [1] as well as Sec. H2 of [4]. See also [2a][2b].

[2a] Tweet by @OriolVinyalsML: Distillation has been on the news (!) due to @deepseek_ai. The paper https://t.co/Yd4fRhYGgC was actually rejected from NeurIPS 2014 due to lack of novelty (true-ish), and lack of impact. Thanks reviewer#2 (literally), and thanks for @arxiv! @geoffreyhinton @JeffDean https://t.co/1H44TLn0WG 

[2b] Reply tweet by @OriolVinyalsML: PS @SchmidhuberAI in 1991 published something related to compressing history length in RNNs, which may be very relevant for long context, an important topic of research today. https://t.co/mjSW94Oz8H 

[3] JS (AI Blog, 2021). 30-year anniversary: first very deep learning with unsupervised pre-training (1991) [1]. Unsupervised hierarchical predictive coding finds compact internal representations of sequential data to facilitate downstream learning. The hierarchy of networks can be distilled [1][4] into a single deep neural network. 1993: solving problems of depth >1000.

[4] J. Schmidhuber. How 3 Turing awardees republished key methods and ideas whose creators they failed to credit. Technical Report IDSIA-23-23, Swiss AI Lab IDSIA, 14 Dec 2023. See Sec. H2 on ""collapsing"" [1] or ""distilling"" [2] the knowledge in a neural network. Tweet: https://t.co/0fJVklY6DZ 

[5] J. Schmidhuber (JS, 2015). On Learning to Think: Algorithmic Information Theory for Novel Combinations of Reinforcement Learning Controllers and Recurrent Neural World Models. arXiv 1210.0118. Sec. 5.3 describes a reinforcement learning (RL) prompt engineer which learns to query its model for abstract reasoning and planning and decision making.

[6] JS (2018). One Big Net For Everything. arXiv 1802.08864. See also US patent US11853886B2. Collapsing the reinforcement learner and the world model of [5] (e.g., a foundation model) into a single network, using the neural network distillation procedure of 1991 [1]. Essentially what's now called an RL ""Chain of Thought"" system, where subsequent improvements are continually distilled into a single net. 

[7] #DeepSeekR1 (2025): Incentivizing Reasoning Capability in LLMs via Reinforcement Learning. arXiv 2501.12948 

[8] 2025 tweet: #DeepSeek [1] uses elements of the 2015 reinforcement learning prompt engineer [5] and its 2018 refinement [6] which collapses the RL machine and world model of [5] into a single net. This uses the neural net distillation procedure of 1991 [1]: a distilled chain of thought system. https://t.co/HIVU8BX80q","""1899113021529792937""","1163786515144724485"
CryptoSlate,"Thailand’s SEC gives Tether and USDC the green light for digital trades

https://t.co/zFKvpaklXR","""1899105060434706784""","893284234042855424"
BigCheds,"$BTC 4H working on ""Falling three methods""","""1899103733042069571""","129935623"
chainyoda,All we need to fix this market is the 69th research KOL paper on why Celestia will flip ethereum,"""1899107386901602522""","112509659"
Travis_Kling,"ABANDON ALL HOPE YE WHO ENTER THE ALTS MARKET

Trump won’t save you.
Regs won’t save you.
David Sacks won’t.
Pumpfun.
Airdrops.
Relative valuation.
Larry Fink.
Vitalik.
Firedancer.
AI reply bots.
Murad.
Kanye.
NONE OF IT WILL SAVE YOU.

Someone actually has to use this shit for something. There has to be SOME sort of relationship between valuation and a modicum of real world usage.

Until then, we bleed. As well we should.","""1899104424296894816""","905781705159606272"
waitin4agi_,"Put out a video on Manus today and like 20 people commented “just a wrapper”, man you are not ready for most high value digital tasks to all become writing English and putting things together are you","""1899103566528155940""","567961995"
AethirCloud,"Total Compute Hours Delivered: 512,157,249 🚀

Aethir’s network has delivered 512 million+ compute hours—that’s a massive amount of processing power. To put it into perspective, here’s what that kind of power looks like ⚡

🧵👇","""1899107931532021944""","1531588175000268800"
EricCLFung,"Everyone knows Solana is a VC coin. Retail players can’t really win against it. Don’t you remember what happened with FTX? 

Solana tanked to almost zero and somehow got rescued back. That’s not a free market, that’s an inside game. Some secret info before here 🧵👇

Look, the real issue with Solana isn’t just about reliability or speed. Yeah, sure, it suddenly went into “slo mode” right when Trump coin started pumping and then collapsing, convenient timing, right? But that’s not the core problem.

The real issue is Firedancer. It was developed alongside Jump Crypto, a firm whose entire existence in traditional markets is about extracting money from retail players. And guess what? They’re doing the same thing here. Solana’s gas fees and speed don’t exist to help the average investor, they exist to give Jump Trading and other market makers an insane information advantage. Even if one individual trader doesn’t feel it, the net effect on the masses is pure extraction.

They hold a ridiculous edge over retail. And honestly? Speed doesn’t even matter for the average investor. Ethereum, on the other hand, is actually decentralized. The number of devs building on ETH completely outpaces Solana, and the competition in ETH’s L2 ecosystem is thriving. That’s healthy.

Solana, on the other hand? It’s been designed as a long-term extraction machine, just like how traditional financial markets work today. 62% of its tokens went straight into the hands of VCs and insiders. It’s just another version of Web2 big tech, where people are the product.

That said, for memecoins and AI agents, Solana does have the biggest market share. If you’re a degen looking for quick plays, it makes sense to be there. It’s just really up to you, do you want your money in centralized hands, or would you rather put it in something more decentralized like Ethereum?","""1899106984005394908""","37945701"
dotkrueger,"For the last two-three years we had to listen to Yellen and Powell insist that ""the economy was great"" and ""banks were incredibly strong"".

This was BS. Jobs numbers were being propped up by massive Government hires. Bank ""health"" was the result of ""innovative"" programs like the ""BTFP"", and ""paying depositors 0.1% while earning 5%"". 

Consumers managed to spend their way out of Covid by massively ramping up credit card debt. The average card balance is being financed at a mind boggling 29% APR. This can't continue.

The deficit has gotten completely out of control. Interest payments are 1 Trillion per year, exceeding defense.

We need to stop this insanity. Rates need to come down. Massive DEI Government Hiring sprees need to go in reverse. Banks need to stop being protected by the Fed and Elizabeth Warren.

We need to let AI and Crypto do their things. Let the machines take over. Let DeFi replace banks. Adopt Bitcoin as Hard Money store of Value.","""1899109327962546619""","67469426"
tunguz,"I finally got around to reading “ReWork” by @dhh and @jasonfried, a wonderful invitation to rethinking how we work, what purpose should work serve in our lives, and why lots of conventional wisdom is not helpful in either of those regards. The book was written a while back, and it has aged really well. In fact, I’d argue that with the monumental changes in the economy that are just ahead, it’s probably more relevant than ever.","""1899105174481731833""","23511272"
"3hunnatheArtist","Who wants to be rich? 
@PeaceLoveMusicG  drops from alpha here on @DeOrganizedBTC, this has something to do with @adam_haun @Stacks https://t.co/gOW6xnZXjK","""1899107737201430918""","1439967532576825353"
BhosalePratim,"There is always something to learn from @levelsio  . 

I had no idea there was a whole virtual joystick framework named nippleJS.

Interesting choice of words for sure @YoannM 

Damn.","""1899106324258173187""","1374665681442988033"
DexGemsReal,When eth trades sub ~1k in the coming weeks/months just max bid and log off (important) for a free liquid 5x,"""1899101643959853340""","848865746"
mcitizen42,ethereum goes hard,"""1899103951334560107""","902198058557067264"
beast_ico,"Can anyone explain to me how or why a chain that has been live for less than 24 hours can even consider an ETF? 

A lot of KOL money to ""gmove-ers""...and maybe they actually build something that people use years down the road, but let's walk before we run ok? https://t.co/oQxIc0cBKv","""1899104469826068798""","1499585375534206980"
KookCapitalLLC,"somehow eth is the strongest major

has managed to hold above $2000

when eth breaks below maybe the good coins have a chance to go up 😂😂","""1899104766698885162""","864011281"
strangersolemn,"Art on Bitcoin isn’t just here to stay, it’s poised to thrive

PFPs with anonymous teams might come and go, but true art, inscribed on the mother chain with no dependencies, is something else entirely

Artists are only beginning to explore the possibilities of on-chain creation, leveraging recursion, on-chain libraries, DMT and more

The future is brimming with potential

Act accordingly","""1899108029959688263""","1310158979545399296"
CryptoTraalala,"OMG !!!

I told you I had a feeling something big was coming tomorrow!

When you are this connected to a network like @Starknet, you just feel things, even if I did not know what exactly !

Classic zero-knowledge moment I guess !! 😁

See you tomorrow !","""1899109234089799803""","1346068082209529857"
CriptoNoticias,"📉 En la semana del 2 al 9 de marzo, #ether cayó más del 20%, lo que rompió un canal ascendente que se consolidaba desde el colapso de Terra USD en 2022.

🔽 Actualmente, la moneda nativa de #Ethereum se encuentra un 57% por debajo de su máximo histórico, cotizando en 2.115 dólares.

📊 Esta caída se enmarca en una tendencia general del mercado, donde las #criptomonedas en el top 100 están viendo caídas de más del 10%.","""1899089987418644886""","3156511997"
Gemini,"Something BIG is coming this week.

Stay tuned.","""1899108984835244336""","2815661158"
TrustWallet,"🎙️ Tune in to Trust Talks Episode #7 as we discuss everything around brand growth!   Live Now!  Join our guests: @0xDannyHype MD from @hypepartners and Trust Wallet’s own  @samifami, our Head of Marketing, hosted by our Trust Creator @pav_eth https://t.co/SirUpfrObB","""1899105546860626120""","911011433147654144"
jediblocmates,"When Grant goes full nerd mode on something, you best pay attention.","""1899088632197120128""","971586956"
brucefenton,"Five years ago this week, the US & most of the world was locked down by politicians over “Covid19”.

By now it should be clear to all thinking people that this was both a scam of epic proportions and a gross violation of human rights.

We’ve never had a proper accounting of how and why this tyranny happened. 

Remember the videos of people dropping dead in the streets?  We now know they were fake. Remember the “ventilator shortages”?  Remember the hospital ships coming to relieve the “full” hospitals?  Remember the concerns of morgues overflowing?   All of it was a sham.   

The academics, the scientists, the NGOs, the politicians, the medical community - they were all wrong.  All wrong.  They censored and arrested those who stood against the tyranny as they violated human rights.   They were wrong both about the risk — Covid was not nearly as deadly as they claimed, and they were wrong about the measures to deal with it.  No matter how deadly, it’s never legitimate for government to interfere with freedoms in this way. 

Now we should all look back and remember the tyranny and ask why this happened.  Most importantly we must make sure it never happens again.  No matter how deadly a virus the government does not have the right to override the risk preferences of an individual.   They’ve tried to bring back the tyranny with “Omicron” and other efforts and the next pandemic of tyranny may be driven by something else entirely.  But now is the time we can all decide that this will never happen again.  We will not comply.","""1899091858963189892""","19132398"
darmich19,"👀 

@Starknet fam…

The signs are everywhere From Starknet KOLs to OG projects…
Everyone’s whispering (screaming) the same thing:

“THIS IS THE BIG WEEK”.

We’re talking game changing, next-level, paradigm-shifting stuff.
Not your usual “TPS” talk.

This is deeper.
This is different.
This is destiny.

I’m not supposed to leak much (yet)… But here’s your alpha:
What’s coming will reshape the blockchain space as we know it.
Something we’ve never seen before on ZK STRK or anywhere else. Something that’ll make users massive, and keep them beyond bullish.

Tomorrow, faces will be melted.
Turn those notifications ON.

Guess in the comments… what do you think is coming to Starknet?","""1899096519099265516""","951598933867941888"
lex_node,ethereum goes hard,"""1899090919552348412""","954015928924057601"
ARafayGadit,"I remember the time when every 2nd week we used to have e “Tether is going to implode” FUD and people rushing to sell USDT at 15% loss lols - I have always maintained that @Tethe_to has done an amazing job for:

1) crypto adoption
2) dollar adoption 
3) remittances 
4) safety net in a very volatile space

Today govts are accepting USDT as legal tender and this is amazing! Congrats @paoloardoino & team, you guys have done an amazing job 🤝","""1899092770549113007""","897851575699460096"
KelpDAO,"Our co-founders @GAmitej and @galacticminter joined the first episode of ""Off the Block"" and dropped major alpha you wouldn't want to miss.

They made sure to address the community's most pressing questions about the upcoming KERNEL TGE.

Here's a recap of what they shared. 👇

✧ Timeline:

⍛ TGE date to be announced in the next couple of weeks
⍛ Exact date pending due to coordination with exchanges

✧ Airdrop:

⍛ 10% of total token supply allocated for Season 1 airdrop (users farming since 2024)
⍛ Additional 10% earmarked for future airdrops (Seasons 2 and 3)
⍛ Users farming since January 1st, 2025 qualify for Season 2 and 3 (subject to governance approval)

✧ Claiming:

⍛ Claiming will be chain-specific with low gas fees
⍛ Users cannot claim on multiple chains

✧ Post-TGE Features:

⍛ Token holders can earn Season 2 points by staking on both Kelp and Kernel

Stay tuned for official date and airdrop checker across our channels.

The pieces are coming together 🌱","""1899097938175180890""","1707302676202229760"
DiMartinoBooth,…and if something fails to rent?,"""1899081253028082043""","3280573716"
"0xNurstar","It's time for Interplanetary Scaling Explorations

During all these years I've always considered myself an Ethereum maximalist and I must admit that I was very skeptical when @StarkWareLtd announced developments about settling @Starknet on Bitcoin alongside Ethereum.

However, after diving deeper in the hard work of the Gigabrains from @StarkWareLtd and the 
@StarknetFndn, I now believe that this bidirectional approach is the right path to follow.

One of the things that made me fall in love with @Starknet and with @StarkWareLtd approach to scalability since the StarkEx early days was their originality and their experimental attitude in solving complex problems. 
They have been pioneers in the Ethereum scaling scene and I also think they even had to pay a very high price for their originality as some Ethereum OGs have always had a discriminating negative bias towards Starknet for not being EVM compatible. I personally never understood such behaviours and I believe that trying new, original approaches to solve problems is one of the most important core values of Ethereum and the whole Starknet community fully embraced this principle during these years.

The Ethereum L2 War1 is over and we are now entering a new age

Scaling on the Ethereum planet will remain one of the most exciting landscapes in this industry but it's now time for Interplanetary Scaling Explorations as well.

@Starknet maintains its feet well grounded on @ethereum while starting a new adventure, settling on Bitcoin and enabling next-gen scaling in the first and most successful Blockchain so far. 

Pioneering is a lifestyle for our community.

Let's keep on writing the History of Scaling together, my dear @Starknet fam!

Something great is about to begin and I'm looking forward to creating a lot of content about this new exciting era ✨","""1899086393860571436""","1489498059042172931"
"0x_Abdul","hardware specs for running a full node on ethereum, monad and solana https://t.co/KiLgbOqYxv","""1899085322673344987""","43500160"
Gfunkera86,"Hearing a lot of “Worst cycle ever.”

Yeah - let’s get back to buying quality.

Let’s support innovation, art, and those that never gave up.

I joined this ecosystem because I really believed in the decentralization movement, the degen, the banter, the ethos. Let’s take it back!","""1899087431971877033""","164164843"
AptosLabs,"DC, we’re on our way! 🫡 🌐

Thrilled to have @AveryChing joining esteemed new members of Congress at #DCBlockchain Summit.

Kudos to the visionary leaders driving discussion and action—proud to shape a brighter blockchain future together. 🌟","""1899082821882544629""","1582127706560376832"
sharafi_eth,"most of my tweets are just extended troll versions of my telegram/ig posts. i’ve got 550k+ subs across platforms, so i play around with content. if you see something &amp; think it’s wrong, there’s a high chance you just don’t get it‼️","""1899083071640719562""","1458855197237821449"
tapbaseapp,"The Times They Are a-Changin’ - @bobdylan 

Junit.eth: https://t.co/xN15MNgicA","""1899085030875361695""","1794870290993815553"
MarioNawfal,"ELON: CITIZEN JOURNALISTS OFTEN KNOW MORE THAN LEGACY JOURNALISTS

“I think the media is a driver of misinformation much more than the media would like to admit that they are.

In a lot of cases, it is the average citizen that knows more than the journalist. 

Very often, when I see an article about something that I know a lot about, they get a lot wrong.

It's the best interpretation of someone who doesn't really understand what's going on in the industry.

If somebody is actually an expert in the field, and was actually there and then writes about their experience, I think that's going to be better than a journalist.”

Source: Interview with the BBC, April 2023","""1899086188373258287""","1319287761048723458"
CryptosR_Us,🇹🇭JUST IN: Thailand's SEC approves Tether's $USDT as a compliant crypto 👏 https://t.co/I2iva6ciap,"""1899076180629770253""","877357064724520961"
Cointelegraph,"🇹🇭 TODAY: Thailand’s SEC approves Tether’s $USDT as an official cryptocurrency, trading and payment use starting March 16, 2025. https://t.co/N2IXwuIgMu","""1899080137947099592""","2207129125"
BroLeonAus,"最近挺多反撸的项目，所以正经有点偷懒了。但因为认识的 @yueya_eth 小姐姐入职了 @defidotapp 当Apac Head。 加上最近一段时间这个项目在 @KaitoAI 的pre-TGE 上数据不错（mindshare 到了5%+），所以今天找时间体验了一下。

“链抽象”这个赛道其实之前也体验过一些项目了，就不重复介绍了，大家比拼的无外乎就是终端体验和磨损成本等。

目前撸积分也很简单，就连接上钱包直接用他家交易完事，类似于交易挖矿逻辑。因为刚好需要做交易，今晚就顺便在Solana上用他家走了一下USDC-SOL，总量15万U成本不到10U，给了7.5万分上下。路径走的是Jup，所以其实没啥额外成本。测了一下Arb上的eth-usdc交易对，我看路径走的1inch。

不过我就不来回吃磨损挖矿了，风险大。但如果链上有交易的时候准备顺带手用一下，看看回头能不能吃个猪脚饭。

项目的具体情况我发现 @0x_xifeng 写的挺全的，就不车轱辘话重复了，如果你打算也顺手刷一下，记得用链接先加入队伍，否则白交易了。

传送门：https://t.co/w4eWYRW6if","""1899077754941042692""","1362967156825018369"
IgorStadnykINC4,"After hitting a good number of crypto conferences this year, what i see: 

- 40% of talks still about $Btc - the OG remains center stage 

- projects scrambling to find real revenue models

- top engineering talents move: crypto ➡️blockchain ➡️ AI 

- retail investors more cautious after the meme coin rollercoaster

 - market searching for actual value, not just hype 

❗️Short prediction: 
- next 6+ months will separate serious projects from the rest, but fundamentals will stay.

The space is maturing... whether it wants to or not!","""1899075177540989065""","3186900945"
CriptoNoticias,"💳 #BBVA obtiene autorización para ofrecer #trading de #bitcoin y ether en España

En 2020, el banco intentó entrar al mercado de criptomonedas desde Suiza, aprovechando su marco regulatorio favorable 💼

➡️ BBVA no es el único banco europeo que ha decidido incursionar en el ecosistema de los #criptoactivos

Deutsche Bank, de Alemania, también ha avanzado en este sector con una solución de escalabilidad para #Ethereum: Proyecto Dama 2 🚀","""1899078467586584965""","3156511997"
Cointelegraph,🇹🇭 TODAY: Thailand’s SEC approves Tether’s $USDT as an official cryptocurrency. https://t.co/Qh2oQs5dOl,"""1899079511129440635""","2207129125"
WatcherGuru,JUST IN: 🇹🇭 Thailand's SEC officially approves Tether's $USDT as a compliant cryptocurrency.,"""1899075321472704660""","1387497871751196672"
WuBlockchain,"According to an official announcement from Tether, the Thai Securities and Exchange Commission (SEC) has officially approved USD₮ as a compliant cryptocurrency, allowing it to be legally traded in the Thai market and potentially used for payments.The regulation will take effect on March 16, 2025.
https://t.co/qi15tQYBEr","""1899071667311411403""","111533746"
httpJunkie,"Shazam has misidentified the last two tracks I tried to find and gave me:

“U Be Dick” and “Hoe Up”

WTF is going on? I think it’s trying to tell me something.., https://t.co/ccDaEB5Keb","""1899066411319718209""","1594100137"
